temperature,humidity,voc,ammonia,alcohol,timestamp,cycle_id,stage
33.2,76.1,642,1298,945,23-09-2025 22:30,1,Fresh
33.5,75.3,620,1310,999,23-09-2025 22:35,1,Fresh
33.7,74.7,611,1301,995,23-09-2025 22:40,1,Fresh
33.8,74.6,601,1293,999,23-09-2025 22:45,1,Fresh
33.9,74.7,614,1296,1045,23-09-2025 22:50,1,Fresh
33.9,75.2,597,1237,1007,23-09-2025 22:55,1,Fresh
34.1,75,600,1275,1068,23-09-2025 23:00,1,Fresh
34.1,74.8,614,1292,1107,23-09-2025 23:05,1,Fresh
34.2,74.6,639,1296,1150,23-09-2025 23:10,1,Fresh
34.2,74.7,656,1298,1179,23-09-2025 23:15,1,Fresh
34.2,74.7,643,1311,1189,23-09-2025 23:20,1,Fresh
34.3,74.7,640,1310,1200,23-09-2025 23:25,1,Fresh
34.3,74.7,650,1301,1210,23-09-2025 23:30,1,Fresh
34.2,75,665,1392,1207,23-09-2025 23:47,1,Fresh
34.4,74.7,679,1414,1230,23-09-2025 23:57,1,Fresh
34.4,74.5,752,1421,1648,24-09-2025 00:02,1,Fresh
34.2,75.1,843,1438,1730,24-09-2025 00:12,1,Fresh
34.2,75,752,1392,1712,24-09-2025 00:14,1,Fresh
34.4,75,745,1379,1705,24-09-2025 00:19,1,Fresh
34.6,75.1,922,1427,1776,24-09-2025 00:29,1,Fresh
34.7,74.7,958,1460,1792,24-09-2025 00:34,1,Fresh
34.8,74.7,999,1458,1814,24-09-2025 00:39,1,Fresh
34.9,74.6,1036,1498,1843,24-09-2025 00:44,1,Fresh
34.9,74.3,1053,1561,1853,24-09-2025 00:49,1,Fresh
35,74.5,1060,1471,1867,24-09-2025 00:54,1,Fresh
35,74.6,1077,1427,1882,24-09-2025 00:59,1,Fresh
35.1,74.6,1095,1525,1904,24-09-2025 01:09,1,Fresh
35.1,74.6,1099,1535,1910,24-09-2025 01:14,1,Fresh
35.1,74.7,1104,1583,1919,24-09-2025 01:19,1,Fresh
35.1,74.6,1104,1510,1905,24-09-2025 01:24,1,Fresh
35.1,74.8,1110,1520,1904,24-09-2025 01:29,1,Fresh
35.1,74.7,1116,1485,1899,24-09-2025 01:34,1,Fresh
35.2,74.8,1115,1520,1913,24-09-2025 01:39,1,Fresh
35.1,75.1,1134,1557,1952,24-09-2025 01:50,1,Fresh
35.1,75.1,1136,1535,1968,24-09-2025 01:55,1,Fresh
35.2,75.1,1135,1506,1973,24-09-2025 02:00,1,Fresh
35.1,75.2,1139,1579,2000,24-09-2025 02:05,1,Fresh
35.1,75.3,1149,1601,2011,24-09-2025 02:10,1,Fresh
35.1,75.2,1146,1579,2013,24-09-2025 02:15,1,Fresh
35.2,75.3,1172,1616,2001,24-09-2025 02:20,1,Fresh
35.2,75.3,1158,1614,2031,24-09-2025 02:25,1,Fresh
35.2,75.3,1157,1600,2064,24-09-2025 02:30,1,Fresh
35.2,75.3,1169,1616,2093,24-09-2025 02:35,1,Fresh
35.2,75.4,1175,1627,2110,24-09-2025 02:40,1,Fresh
35.2,75.4,1186,1658,2128,24-09-2025 02:45,1,Fresh
35.2,75.5,1191,1667,2129,24-09-2025 02:50,1,Fresh
35.2,75.4,1185,1630,2139,24-09-2025 02:55,1,Fresh
35.2,75.6,1182,1664,2143,24-09-2025 03:00,1,Fresh
35.2,75.5,1186,1654,2133,24-09-2025 03:05,1,Fresh
35.2,75.6,1180,1642,2106,24-09-2025 03:10,1,Fresh
35.2,75.8,1174,1651,2096,24-09-2025 03:15,1,Fresh
35.1,74.9,1195,1633,2042,24-09-2025 03:20,1,Fresh
34.9,75.3,1207,1645,2033,24-09-2025 03:25,1,Fresh
34.9,75.3,1227,1590,1744,24-09-2025 03:30,1,Fresh
35,75.1,1255,1563,2030,24-09-2025 03:35,1,Fresh
35,75,1183,1522,2027,24-09-2025 03:40,1,Fresh
34.9,75.1,1158,1535,2019,24-09-2025 03:45,1,Fresh
34.9,75,1162,1535,2038,24-09-2025 03:50,1,Fresh
34.9,75.1,1121,1554,2075,24-09-2025 03:55,1,Fresh
34.9,75,1072,1443,2058,24-09-2025 04:00,1,Fresh
34.8,74.9,1054,1523,2033,24-09-2025 04:05,1,Fresh
34.8,74.7,1017,1495,1998,24-09-2025 04:10,1,Fresh
34.8,74.7,1014,1487,2011,24-09-2025 04:16,1,Fresh
34.8,74.6,1002,1511,2018,24-09-2025 04:21,1,Fresh
34.8,74.5,989,1471,2018,24-09-2025 04:26,1,Fresh
34.8,74.5,975,1459,2006,24-09-2025 04:31,1,Fresh
34.8,74.4,971,1471,2006,24-09-2025 04:36,1,Fresh
34.8,74.2,959,1489,1997,24-09-2025 04:41,1,Fresh
34.7,74.1,954,1477,2007,24-09-2025 04:46,1,Fresh
34.7,74.1,950,1502,2001,24-09-2025 04:51,1,Fresh
34.7,74,943,1495,1996,24-09-2025 04:56,1,Fresh
34.7,73.9,945,1450,2003,24-09-2025 05:01,1,Fresh
34.7,73.8,929,1455,2003,24-09-2025 05:06,1,Fresh
34.7,73.7,932,1423,2001,24-09-2025 05:11,1,Fresh
34.7,73.6,927,1446,2003,24-09-2025 05:16,1,Fresh
34.7,73.5,926,1497,2003,24-09-2025 05:21,1,Fresh
34.7,73.1,930,1446,1995,24-09-2025 05:26,1,Fresh
34.6,73.2,916,1392,2000,24-09-2025 05:31,1,Fresh
34.6,73.2,915,1473,2003,24-09-2025 05:36,1,Fresh
34.6,72.9,912,1407,1994,24-09-2025 05:41,1,Fresh
34.6,72.9,919,1442,2002,24-09-2025 05:46,1,Fresh
34.6,72.9,942,1428,2014,24-09-2025 05:51,1,Fresh
34.6,72.7,960,1466,2013,24-09-2025 05:56,1,Fresh
34.6,72.6,962,1483,2007,24-09-2025 06:01,1,Fresh
34.6,72.6,950,1471,2011,24-09-2025 06:06,1,Fresh
34.6,72.5,944,1570,2011,24-09-2025 06:11,1,Fresh
34.6,72.4,941,1495,2015,24-09-2025 06:16,1,Fresh
34.6,72.4,944,1493,2012,24-09-2025 06:21,1,Fresh
34.6,72.1,969,1456,2064,24-09-2025 06:26,1,Fresh
34.4,71.2,982,1394,2055,24-09-2025 06:31,1,Fresh
34.2,71.2,986,1389,2045,24-09-2025 06:36,1,Early Spoilage
34.1,71.1,944,1315,1989,24-09-2025 06:41,1,Early Spoilage
34.1,70.7,946,1367,2021,24-09-2025 06:46,1,Early Spoilage
34.1,70.8,969,1333,2000,24-09-2025 06:51,1,Early Spoilage
34.1,70.7,999,1349,2005,24-09-2025 06:56,1,Early Spoilage
34.1,70.4,1004,1376,2027,24-09-2025 07:01,1,Early Spoilage
34,70.4,993,1347,2032,24-09-2025 07:07,1,Early Spoilage
34,70.4,981,1381,2043,24-09-2025 07:12,1,Early Spoilage
34,70.1,955,1279,2032,24-09-2025 07:17,1,Early Spoilage
33.9,70.4,950,1328,2039,24-09-2025 07:22,1,Early Spoilage
33.9,70.4,949,1371,2058,24-09-2025 07:27,1,Early Spoilage
33.9,70.4,948,1355,2047,24-09-2025 07:32,1,Early Spoilage
33.9,70,934,1296,2029,24-09-2025 07:37,1,Early Spoilage
33.8,70,915,1282,2010,24-09-2025 07:42,1,Early Spoilage
33.8,69.7,902,1297,2007,24-09-2025 07:47,1,Early Spoilage
33.8,69.8,910,1303,2000,24-09-2025 07:52,1,Early Spoilage
33.9,69.7,912,1351,2017,24-09-2025 07:57,1,Early Spoilage
33.9,69.6,899,1298,2015,24-09-2025 08:02,1,Early Spoilage
33.9,69.5,897,1286,2018,24-09-2025 08:07,1,Early Spoilage
33.8,69.4,903,1312,2016,24-09-2025 08:12,1,Early Spoilage
33.8,69.3,893,1250,2016,24-09-2025 08:17,1,Early Spoilage
33.8,69.2,884,1264,2002,24-09-2025 08:22,1,Early Spoilage
33.8,69.1,879,1296,1894,24-09-2025 08:27,1,Early Spoilage
33.8,69,883,1334,1867,24-09-2025 08:32,1,Early Spoilage
33.9,68.9,896,1290,1888,24-09-2025 08:37,1,Early Spoilage
33.9,69,926,1365,1893,24-09-2025 08:42,1,Early Spoilage
33.9,69,956,1342,1892,24-09-2025 08:47,1,Early Spoilage
33.9,68.9,968,1375,1897,24-09-2025 08:52,1,Early Spoilage
33.9,68.8,976,1358,1889,24-09-2025 08:57,1,Early Spoilage
33.9,68.8,1008,1374,1897,24-09-2025 09:02,1,Early Spoilage
33.9,68.6,1004,1361,1899,24-09-2025 09:08,1,Early Spoilage
33.9,68.6,970,1296,1892,24-09-2025 09:13,1,Early Spoilage
33.9,68.7,991,1356,1923,24-09-2025 09:18,1,Early Spoilage
33.8,68.7,966,1330,1930,24-09-2025 09:23,1,Early Spoilage
33.9,68.5,944,1347,1937,24-09-2025 09:28,1,Early Spoilage
33.9,68.4,928,1387,1937,24-09-2025 09:33,1,Early Spoilage
33.9,68.3,909,1361,1926,24-09-2025 09:38,1,Early Spoilage
33.9,68.4,896,1367,1931,24-09-2025 09:43,1,Early Spoilage
33.9,68.2,899,1342,1931,24-09-2025 09:48,1,Early Spoilage
33.9,68.4,906,1391,1945,24-09-2025 09:53,1,Early Spoilage
33.9,68.4,909,1357,1950,24-09-2025 09:58,1,Early Spoilage
34,68.4,904,1424,1955,24-09-2025 10:03,1,Early Spoilage
34,68.3,902,1366,1948,24-09-2025 10:08,1,Early Spoilage
33.9,68.3,910,1354,1957,24-09-2025 10:13,1,Early Spoilage
34,68.1,929,1371,1955,24-09-2025 10:18,1,Early Spoilage
34,68,967,1424,1963,24-09-2025 10:23,1,Early Spoilage
33.9,68,981,1424,1991,24-09-2025 10:28,1,Early Spoilage
33.9,68,1008,1394,1998,24-09-2025 10:33,1,Early Spoilage
33.9,67.8,1006,1350,1989,24-09-2025 10:38,1,Early Spoilage
33.9,67.8,998,1395,1997,24-09-2025 10:43,1,Early Spoilage
33.9,67.8,977,1443,1998,24-09-2025 10:48,1,Early Spoilage
34,67.5,974,1360,1982,24-09-2025 10:53,1,Early Spoilage
34,67.6,966,1360,1988,24-09-2025 10:58,1,Early Spoilage
34,67.5,974,1394,1983,24-09-2025 11:04,1,Early Spoilage
34.1,67.3,983,1358,1990,24-09-2025 11:14,1,Early Spoilage
34.1,67.4,995,1428,1994,24-09-2025 11:19,1,Early Spoilage
34.1,67.3,996,1487,1995,24-09-2025 11:24,1,Early Spoilage
34.2,67.3,989,1421,1986,24-09-2025 11:29,1,Early Spoilage
34.2,67.2,986,1413,1995,24-09-2025 11:34,1,Early Spoilage
34.2,66.9,981,1427,1972,24-09-2025 11:39,1,Early Spoilage
34.3,66.7,975,1387,1952,24-09-2025 11:44,1,Early Spoilage
34.3,66.9,975,1354,1968,24-09-2025 11:49,1,Early Spoilage
34.3,66.6,955,1307,1929,24-09-2025 11:54,1,Early Spoilage
34.3,66.6,933,1298,1903,24-09-2025 11:59,1,Early Spoilage
34.3,66.5,912,1279,1883,24-09-2025 12:04,1,Early Spoilage
34.4,66.5,919,1322,1899,24-09-2025 12:09,1,Early Spoilage
34.4,66.4,939,1400,1904,24-09-2025 12:14,1,Early Spoilage
34.4,66.3,937,1315,1898,24-09-2025 12:19,1,Early Spoilage
34.4,66.1,923,1308,1902,24-09-2025 12:24,1,Early Spoilage
34.4,66.2,911,1367,1905,24-09-2025 12:29,1,Early Spoilage
34.4,66,897,1343,1890,24-09-2025 12:34,1,Early Spoilage
34.5,66.3,912,1359,1920,24-09-2025 12:39,1,Early Spoilage
34.5,66.4,919,1364,1929,24-09-2025 12:44,1,Early Spoilage
34.5,66.4,913,1354,1922,24-09-2025 12:49,1,Early Spoilage
34.5,66.4,917,1388,1938,24-09-2025 12:54,1,Early Spoilage
34.5,65.9,911,1322,1908,24-09-2025 12:59,1,Early Spoilage
34.5,65.5,898,1289,1905,24-09-2025 13:04,1,Early Spoilage
34.5,65.3,903,1250,1904,24-09-2025 13:09,1,Early Spoilage
34.5,65.7,924,1466,1962,24-09-2025 13:14,1,Early Spoilage
34.5,65.7,933,1446,1989,24-09-2025 13:20,1,Early Spoilage
